item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
it ends with us,2897,0.7227994477045219,0.6597169485674836,0.6791681049361408,0.7661546427338627,0.6722989299275113
atomic habits,2393,0.8082741328875888,0.6898349352277476,0.6440451316339322,0.7342666109486,0.6125365649811952
bible,3765,0.7672310756972112,0.6860557768924302,0.6496082337317397,0.7692430278884461,0.5956440903054449
harry potter,2853,0.7533736417805819,0.6414213109008061,0.6237907465825447,0.7285313704872064,0.659490010515247
no,25046,0.7443274375149724,0.6291593468018846,0.6184260959833905,0.7136798291144295,0.6659805957039048
na,8207,0.802574022176191,0.653704154989643,0.62700743267942,0.7265200438649934,0.6504630193737054
the bible,1443,0.7704954954954956,0.6778239778239779,0.6594767844767844,0.7707553707553706,0.5966042966042966
rich dad poor dad,1063,0.7788334901222953,0.7086547507055503,0.6679444967074317,0.7210489181561617,0.5916039510818438
it ends with us ,902,0.711890243902439,0.6599778270509977,0.6840631929046563,0.7757483370288248,0.6640521064301551
dune,890,0.8401404494382023,0.6176685393258428,0.6045786516853933,0.7034550561797753,0.6537359550561799
percy jackson,1256,0.7722730891719746,0.596576433121019,0.6045183121019108,0.7291998407643312,0.6903463375796178
harry potter ,1182,0.7610194585448392,0.6349619289340102,0.6182318104906938,0.7294416243654823,0.6609771573604061
verity,958,0.7275835073068895,0.6607254697286011,0.6616910229645093,0.7514613778705638,0.6727557411273486
 laws of power,918,0.8022875816993464,0.6802287581699346,0.6410675381263616,0.6550108932461873,0.6016339869281047
fourth wing,767,0.7923402868318121,0.6537483702737941,0.6130378096479792,0.747457627118644,0.6885593220338984
a good girls guide to murder,489,0.7378323108384457,0.6051124744376277,0.616155419222904,0.7462678936605316,0.7179959100204499
the great gatsby,691,0.7492040520984081,0.6393632416787264,0.6535817655571635,0.7162083936324167,0.652424023154848
hunger games,1266,0.7482622432859399,0.625,0.6243680884676145,0.7187796208530804,0.688329383886256
novel,1438,0.7710361613351876,0.6352051460361613,0.5872392211404729,0.7110396383866481,0.693480528511822
nil,549,0.7174408014571949,0.6585154826958105,0.6135701275045538,0.7288706739526412,0.642167577413479
atomic habits ,535,0.8066355140186915,0.6727570093457944,0.6331308411214954,0.732196261682243,0.6294392523364486
ikigai,516,0.82640503875969,0.6958817829457365,0.6409399224806202,0.7489825581395348,0.6111434108527131
the summer i turned pretty,619,0.7008885298869144,0.6479402261712439,0.6762924071082391,0.7617528271405493,0.6768982229402262
the alchemist,660,0.8340530303030301,0.6632575757575757,0.6407575757575757,0.7397727272727272,0.6255681818181819
not sure,568,0.7642605633802816,0.6391285211267606,0.6232834507042253,0.7463468309859155,0.6701584507042253
the seven husbands of evelyn hugo,419,0.8156324582338902,0.631145584725537,0.626670644391408,0.7439737470167065,0.6997613365155131
a little life,462,0.8498376623376622,0.6358225108225108,0.6207792207792207,0.7373376623376623,0.7049242424242425
ugly love,531,0.702306967984934,0.6537193973634652,0.6719868173258003,0.7430320150659133,0.6918549905838042
the outsiders,392,0.7154974489795919,0.6017857142857143,0.6076530612244898,0.7367346938775509,0.6897959183673469
diary of a wimpy kid,451,0.6826496674057649,0.6134146341463415,0.6380266075388027,0.7056541019955654,0.6498891352549889
a court of thorns and roses,423,0.800886524822695,0.6530141843971631,0.6274822695035461,0.7650709219858156,0.6885342789598109
no longer human,456,0.8456688596491229,0.5536184210526316,0.537719298245614,0.6647478070175439,0.743859649122807
the silent patient,497,0.7861670020120723,0.6375251509054326,0.6225855130784709,0.7391348088531188,0.6851609657947687
twisted love,416,0.7382211538461537,0.6175480769230769,0.6299278846153846,0.7453725961538462,0.7149639423076923
