item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
barbie,8657,0.7943485041007277,0.6407733625967426,0.6437507219591082,0.7437911516691693,0.6836375187709368
oppenheimer,7680,0.8161165364583333,0.6626985677083332,0.6301888020833334,0.7052832031249999,0.6249902343749999
dune,3987,0.8200840230749937,0.6449962377727616,0.625401304238776,0.7084148482568347,0.6322673689490846
anyone but you,2768,0.6942557803468208,0.671576950867052,0.6974169075144508,0.7549855491329479,0.6588330924855492
oppenheimer ,2047,0.8148876404494381,0.6522594040058624,0.6245114802149487,0.700781631656082,0.6410967269174401
spiderman across the spiderverse,525,0.789142857142857,0.5801904761904763,0.6072380952380952,0.7119047619047619,0.6682857142857144
everything everywhere all at once,1642,0.8783343483556638,0.5933769792935445,0.6173416565164433,0.7304202192448235,0.6825060901339831
interstellar,2082,0.8025096061479347,0.6309918347742555,0.6172310278578289,0.7108069164265131,0.6494356388088377
harry potter,2079,0.7591991341991342,0.631998556998557,0.6056998556998557,0.7267075517075516,0.6875901875901876
avatar,2910,0.7779896907216495,0.6421735395189003,0.6232302405498281,0.7292955326460481,0.6590120274914089
the notebook,1405,0.7274199288256227,0.64076512455516,0.6657295373665479,0.747491103202847,0.6865302491103202
dune ,1479,0.8140804597701149,0.6351250845165652,0.6388438133874239,0.7033806626098715,0.6438302907369844
spiderman,3177,0.7751337740006295,0.6044224110796349,0.6105524079320113,0.7194129682090021,0.6667768334907145
barbie ,1718,0.7883149010477299,0.6422438882421421,0.6506402793946449,0.7525029103608847,0.6898428405122236
inside out ,1032,0.770203488372093,0.6514292635658915,0.6401889534883721,0.7570494186046511,0.6724806201550387
wonka,1180,0.7741101694915253,0.6449576271186441,0.6259957627118644,0.750593220338983,0.6627330508474576
th fail,1028,0.783317120622568,0.6894698443579766,0.6628404669260701,0.7410749027237354,0.617704280155642
john wick ,1106,0.7782097649186256,0.6687613019891501,0.6160940325497287,0.7206826401446655,0.6262432188065099
poor things,910,0.8950824175824176,0.6358241758241758,0.656456043956044,0.7195604395604395,0.6611538461538462
elemental,1117,0.7957475380483437,0.6442256042972248,0.6122649955237243,0.7536034019695613,0.6773276633840645
saltburn,845,0.8260059171597633,0.619378698224852,0.6587278106508876,0.7032248520710058,0.7002958579881656
fight club,854,0.8087822014051522,0.5783665105386417,0.6183548009367682,0.6634074941451991,0.680327868852459
avatar ,1368,0.780281432748538,0.6363486842105263,0.625,0.731140350877193,0.6584429824561403
deadpool,1696,0.7430571933962263,0.6346108490566039,0.6258254716981133,0.7176444575471698,0.6518130896226415
 things i hate about you,924,0.7415854978354979,0.6113906926406926,0.6497835497835498,0.7360660173160173,0.7094155844155844
hunger games,2370,0.7571940928270042,0.6371940928270041,0.6427426160337554,0.7367616033755274,0.6816350210970463
top gun maverick,677,0.7261447562776957,0.6828286558345642,0.6603397341211226,0.7336041358936484,0.6104874446085672
top gun,1830,0.7265983606557377,0.6882103825136612,0.6594672131147541,0.7328415300546448,0.6067349726775957
inside out,1655,0.7739879154078548,0.6513444108761329,0.6327945619335348,0.7562990936555891,0.6677794561933535
interstellar ,624,0.8053285256410256,0.616826923076923,0.5995592948717948,0.7092147435897436,0.6654246794871795
john wick,1854,0.7742988133764832,0.6727346278317152,0.6154126213592233,0.7219929881337648,0.6217233009708738
la la land,653,0.821094946401225,0.6152756508422664,0.6364088820826953,0.7314318529862175,0.6963246554364473
not sure,826,0.7695823244552058,0.6457627118644067,0.62590799031477,0.7418280871670703,0.6641646489104115
na,8332,0.7915116418626981,0.6344425108017283,0.6155304848775803,0.7232327172347575,0.6741478636581854
five nights at freddys,208,0.746875,0.5713942307692308,0.5853365384615384,0.7270432692307692,0.7487980769230769
no,14574,0.7576420337587485,0.6362151777137368,0.6091378482228627,0.7233841086867022,0.6613438314807192
animal,766,0.7430156657963446,0.6634138381201045,0.6774804177545692,0.7023825065274151,0.633289817232376
past lives,560,0.8737499999999999,0.6521428571428571,0.6321875,0.7335714285714285,0.6656696428571428
jawan,667,0.7525862068965518,0.6604947526236881,0.6501874062968516,0.7292353823088457,0.642016491754123
anyone but you ,496,0.682913306451613,0.6680443548387097,0.6956149193548387,0.7594758064516128,0.6584173387096776
harry potter ,742,0.7705862533692722,0.6244609164420486,0.6022237196765499,0.7202830188679246,0.7006064690026954
coraline,547,0.7907221206581353,0.6075868372943327,0.5952010968921388,0.7442870201096892,0.7174588665447897
fast x,459,0.7342047930283224,0.6771786492374727,0.6431372549019607,0.7325708061002179,0.6341503267973856
rewind,488,0.7905225409836065,0.7183913934426228,0.6733094262295082,0.7810450819672131,0.6392930327868853
across the spiderverse,1662,0.8065583634175691,0.5847021660649819,0.5979542719614922,0.7199608904933814,0.6822503008423586
cant remember,228,0.7691885964912281,0.642982456140351,0.6149122807017543,0.7229166666666667,0.6349780701754385
bullet train,468,0.7891559829059829,0.6015491452991454,0.6006410256410257,0.7008012820512821,0.6698183760683761
spiderman across the spider verse,248,0.7620967741935484,0.5891129032258065,0.6043346774193549,0.7199596774193547,0.669959677419355
mean girls,539,0.7375231910946196,0.616326530612245,0.6567254174397031,0.7062615955473098,0.7098330241187384
